all_finite,candidate_id,candidate_ids_json,component,instability_penalty,layer,layers_json,localization_proxy,mean_abs_corruption_margin,mean_decoded_support_delta,mean_margin_distance_recovery,mean_target_margin_delta,mean_target_probability_delta,num_edits,num_prompt_types,num_rows,num_seeds,num_state_labels,pilot_acceptance_status,policy_id,position,positive_recovery_fraction,prompt_type,prompt_type_std,seed_std,selection_source,site_score,source_table,stability_score,state_label,state_label_std,target_role,weighted_margin_distance_recovery
True,L31:hidden:first_answer_mask,,hidden,,31,,,4.539591471354167,0.08333333333333333,1.0,4.100626627604167,0.10048969191309236,12,,12,,,,,first_answer_mask,1.0,,,,,1.0,causal_trace_summary.csv,,,,target_true,1.0
True,L30:hidden:first_answer_mask,,hidden,,30,,,4.539591471354167,0.08333333333333333,0.7970534270795188,3.7226155598958335,0.08841844480426175,12,,12,,,,,first_answer_mask,1.0,,,,,0.8253036346524447,causal_trace_summary.csv,,,,target_true,0.8253036346524447
True,L31:hidden:first_answer_mask,,hidden,,31,,,3.0776808063189187,0.0,0.6085140839709716,0.048014322916666664,0.00027551964034181847,12,,12,,,,,first_answer_mask,0.9166666666666666,,,,,0.7731524973860227,causal_trace_summary.csv,,,,target_new,0.7731524973860227
True,L29:hidden:first_answer_mask,,hidden,,29,,,4.539591471354167,0.08333333333333333,0.702561152762564,3.0746256510416665,0.0817947638253429,12,,12,,,,,first_answer_mask,1.0,,,,,0.7009725272262807,causal_trace_summary.csv,,,,target_true,0.7009725272262807
True,L30:hidden:first_answer_mask,,hidden,,30,,,3.0776808063189187,0.0,0.42065805628456837,0.4087558190027873,0.0007224905765432036,12,,12,,,,,first_answer_mask,0.8333333333333334,,,,,0.6326471195876263,causal_trace_summary.csv,,,,target_new,0.6326471195876263
True,L28:hidden:first_answer_mask,,hidden,,28,,,4.539591471354167,0.08333333333333333,0.5879401858421225,2.5148518880208335,0.07484940916931275,12,,12,,,,,first_answer_mask,1.0,,,,,0.5837404203827365,causal_trace_summary.csv,,,,target_true,0.5837404203827365
True,L28:hidden:first_answer_mask,,hidden,,28,,,3.0776808063189187,0.0,0.40851494911854924,0.4245842695236206,0.0007629387684785863,12,,12,,,,,first_answer_mask,0.9166666666666666,,,,,0.5670575995969962,causal_trace_summary.csv,,,,target_new,0.5670575995969962
True,L29:hidden:first_answer_mask,,hidden,,29,,,3.0776808063189187,0.0,0.3620591026119181,0.6637501319249471,0.00243068588668649,12,,12,,,,,first_answer_mask,0.9166666666666666,,,,,0.5634844876638933,causal_trace_summary.csv,,,,target_new,0.5634844876638933
True,L27:hidden:first_answer_mask,,hidden,,27,,,3.0776808063189187,0.0,0.3834648835953285,0.4657626549402873,0.0002705187989414289,12,,12,,,,,first_answer_mask,0.8333333333333334,,,,,0.48738768476862754,causal_trace_summary.csv,,,,target_new,0.48738768476862754
True,L27:hidden:first_answer_mask,,hidden,,27,,,4.539591471354167,0.08333333333333333,0.4837922976527679,2.0382893880208335,0.06626219515774778,12,,12,,,,,first_answer_mask,1.0,,,,,0.46712678707479943,causal_trace_summary.csv,,,,target_true,0.46712678707479943
True,L30:attention:first_answer_mask,,attention,,30,,,4.539591471354167,0.08333333333333333,0.41938953094457543,2.3124593098958335,0.020274690303030713,12,,12,,,,,first_answer_mask,0.9166666666666666,,,,,0.4559942634338726,causal_trace_summary.csv,,,,target_true,0.4559942634338726
True,L31:attention:first_answer_mask,,attention,,31,,,4.539591471354167,0.0,0.4193671053867218,2.08056640625,0.01963371197233717,12,,12,,,,,first_answer_mask,0.9166666666666666,,,,,0.4105767937973378,causal_trace_summary.csv,,,,target_true,0.4105767937973378
True,L26:hidden:first_answer_mask,,hidden,,26,,,3.0776808063189187,0.0,0.34674554363201454,0.4338022867838542,0.00020235509204150995,12,,12,,,,,first_answer_mask,0.8333333333333334,,,,,0.3521999232212038,causal_trace_summary.csv,,,,target_new,0.3521999232212038
True,L01:hidden:first_subject,,hidden,,1,,,3.0776808063189187,0.0,0.1825163424244397,-0.4873284101486206,0.0004767753984893375,12,,12,,,,,first_subject,0.6666666666666666,,,,,0.3515129849442251,causal_trace_summary.csv,,,,target_new,0.3515129849442251
True,L27:attention:first_answer_mask,,attention,,27,,,4.539591471354167,0.0,0.3820462134175171,1.5828857421875,0.014214329925143451,12,,12,,,,,first_answer_mask,1.0,,,,,0.3450454891767131,causal_trace_summary.csv,,,,target_true,0.3450454891767131
True,L31:mlp:first_answer_mask,,mlp,,31,,,3.0776808063189187,0.0,0.16148079029390838,-0.15730794270833334,0.0010178642364409758,12,,12,,,,,first_answer_mask,0.75,,,,,0.33236342331071367,causal_trace_summary.csv,,,,target_new,0.33236342331071367
