fullmask_paraphrase_exact,fullmask_rewrite_exact,fullmask_same_subject_tfpr,partial_paraphrase_exact,partial_rewrite_exact,partial_same_subject_tfpr,rewrite_gain,selected_partial_method,target_length
0.12,0.3,0.0,0.14,0.32,0.0,0.020000000000000018,state_bucketed_delta,2
0.1,0.16,0.02,0.08,0.12,0.0,-0.04000000000000001,state_bucketed_delta,3
0.04,0.04,0.0,0.12,0.12,0.0,0.07999999999999999,state_bucketed_delta,4
