bucket,expected_exact,method,num_prompt_rows,relation_id,target_new_hit_rate
rewrite,1.0,prompt_memory,4,P190,1.0
same_subject,0.0,prompt_memory,4,P190,0.5
attribute,0.0,prompt_memory,12,P20,0.75
declarative_paraphrase,0.375,prompt_memory,8,P20,0.375
far_locality,0.25,prompt_memory,4,P20,0.25
generation,0.0,prompt_memory,12,P20,0.16666666666666666
near_locality,0.125,prompt_memory,32,P20,0.09375
rewrite,1.0,prompt_memory,4,P20,1.0
same_subject,0.0,prompt_memory,4,P20,0.0
attribute,0.0,prompt_memory,6,P264,0.3333333333333333
declarative_paraphrase,0.75,prompt_memory,4,P264,0.75
far_locality,0.0,prompt_memory,2,P264,0.0
generation,0.0,prompt_memory,6,P264,0.5
near_locality,0.0,prompt_memory,20,P264,0.35
rewrite,1.0,prompt_memory,2,P264,1.0
same_subject,0.0,prompt_memory,2,P264,0.5
attribute,0.0,prompt_memory,9,P27,0.8888888888888888
declarative_paraphrase,1.0,prompt_memory,6,P27,1.0
far_locality,0.0,prompt_memory,3,P27,0.0
generation,0.0,prompt_memory,8,P27,0.375
near_locality,0.6333333333333333,prompt_memory,30,P27,0.06666666666666667
rewrite,0.6666666666666666,prompt_memory,3,P27,0.6666666666666666
same_subject,0.0,prompt_memory,3,P27,0.0
attribute,0.0,prompt_memory,15,P276,0.6
declarative_paraphrase,0.4,prompt_memory,10,P276,0.4
far_locality,0.0,prompt_memory,5,P276,0.0
generation,0.0,prompt_memory,15,P276,0.13333333333333333
near_locality,0.3829787234042553,prompt_memory,47,P276,0.0851063829787234
rewrite,0.4,prompt_memory,5,P276,0.4
same_subject,0.0,prompt_memory,5,P276,0.0
attribute,0.0,prompt_memory,5,P30,0.8
declarative_paraphrase,0.5,prompt_memory,4,P30,0.5
far_locality,0.5,prompt_memory,2,P30,0.0
generation,0.0,prompt_memory,6,P30,0.0
near_locality,0.5,prompt_memory,8,P30,0.0
rewrite,0.5,prompt_memory,2,P30,0.5
same_subject,0.0,prompt_memory,2,P30,0.5
attribute,0.0,prompt_memory,9,P36,0.4444444444444444
declarative_paraphrase,0.16666666666666666,prompt_memory,6,P36,0.16666666666666666
far_locality,0.3333333333333333,prompt_memory,3,P36,0.0
generation,0.0,prompt_memory,9,P36,0.1111111111111111
near_locality,0.27586206896551724,prompt_memory,29,P36,0.3103448275862069
rewrite,0.3333333333333333,prompt_memory,3,P36,0.3333333333333333
same_subject,0.0,prompt_memory,3,P36,0.3333333333333333
attribute,0.0,prompt_memory,6,P364,0.6666666666666666
declarative_paraphrase,0.75,prompt_memory,4,P364,0.75
far_locality,0.5,prompt_memory,2,P364,0.0
generation,0.0,prompt_memory,6,P364,1.0
near_locality,0.13333333333333333,prompt_memory,15,P364,0.3333333333333333
rewrite,1.0,prompt_memory,2,P364,1.0
same_subject,0.0,prompt_memory,2,P364,1.0
attribute,0.0,prompt_memory,6,P37,0.8333333333333334
declarative_paraphrase,0.5,prompt_memory,4,P37,0.5
far_locality,0.0,prompt_memory,2,P37,0.0
generation,0.0,prompt_memory,6,P37,0.8333333333333334
near_locality,0.14285714285714285,prompt_memory,14,P37,0.35714285714285715
rewrite,0.0,prompt_memory,2,P37,0.0
same_subject,0.0,prompt_memory,2,P37,0.0
attribute,0.0,prompt_memory,12,P39,0.6666666666666666
declarative_paraphrase,0.625,prompt_memory,8,P39,0.625
