all_metrics_finite,analysis_500_used,base_locality_exact,clipped_self_normalized_locality,comparable_actual_decode,declarative_paraphrase_exact,far_tfpr,final_test_used,generation_tfpr,gpu_minutes_per_edit,locality_exact,malformed_rate,memory_storage_bytes,method,near_tfpr,num_edits,old_target_suppression,rewrite_exact,run,runtime_schema_present,same_subject_tfpr,selection_score,stress_aware_aggregate,target_token_f1,utility_base_agreement
True,False,0.18610119047619048,1.0,True,0.0,0.0,False,0.0,0.0,0.18610119047619048,0.0,0,base,0.004464285714285714,100,0.0,0.0,runs/partial_state_temporal_residual_editor_v1/C2_fullmask_temporal_residual_v1/pilot100_v1/stable_temporal_top1,True,0.0,0.0,0.0,0.0,1.0
True,False,0.18610119047619048,1.0,True,0.55,0.04,False,0.27364864864864863,0.007832923579961062,0.2175595238095238,0.0,0,prompt_memory,0.2425595238095238,100,0.84,0.73,runs/partial_state_temporal_residual_editor_v1/E2_pilot100_v1/prompt_memory,True,0.16,0.7163247100802854,0.7436988687732916,0.7266666666666667,0.2660208643815201
True,False,0.18610119047619048,0.9680153526307372,True,0.01,0.0,False,0.006756756756756757,0.015981483910232783,0.18014880952380952,0.0,0,target_logit_bias,0.044642857142857144,100,0.85,0.01,runs/partial_state_temporal_residual_editor_v1/E2_pilot100_v1/target_logit_bias,True,0.01,0.014922920024029196,0.0197977518611033,0.01,0.9374068554396423
True,False,0.18610119047619048,0.9262753878138493,True,0.33,0.0,False,0.125,0.04601160027304044,0.17238095238095238,0.0,0,ordinary_mdm_memit,0.005952380952380952,100,1.0,0.73,runs/partial_state_temporal_residual_editor_v1/E2_pilot100_v1/ordinary_mdm_memit,True,0.04,0.5474693735545542,0.6133628532672363,0.7366666666666667,0.7511177347242921
True,False,0.18610119047619048,0.9531424916040301,True,0.285,0.0,False,0.12162162162162163,0.043507204893666,0.1773809523809524,0.0,0,partial_state_mdm_memit,0.001488095238095238,100,0.98,0.64,runs/partial_state_temporal_residual_editor_v1/E2_pilot100_v1/partial_state_mdm_memit,True,0.03,0.490161398419177,0.5593341030077617,0.6383333333333333,0.7555886736214605
True,False,0.18610119047619048,0.9422677114984809,True,0.265,0.0,False,0.11148648648648649,0.04350301395046215,0.17535714285714288,0.0,0,static_nullspace_partial_state_memit,0.002976190476190476,100,0.97,0.64,runs/partial_state_temporal_residual_editor_v1/E2_pilot100_v1/static_nullspace_partial_state_memit,True,0.04,0.4689438479301801,0.5377051565569977,0.6383333333333333,0.7853949329359166
True,False,0.18610119047619048,0.9114025267871422,True,0.5,0.0,False,0.17567567567567569,0.04095653223215292,0.16961309523809523,0.0,11468800,timerome_counterfact_fullmask,0.005952380952380952,100,0.0,0.82,runs/partial_state_temporal_residual_editor_v1/C2_fullmask_temporal_residual_v1/pilot100_v1/stable_temporal_top1,True,0.07,0.6949717491158895,0.7418409940817967,0.8366666666666667,0.6371087928464978
True,False,0.18610119047619048,1.0,True,0.42,0.0,False,0.15878378378378377,0.04719425244722515,0.19514880952380953,0.0,11468800,timerome_source_style_fullmask,0.00744047619047619,100,0.0,0.84,runs/partial_state_temporal_residual_editor_v1/E2_pilot100_v1/timerome_source_style_fullmask,True,0.06,0.65625,0.7098166127292341,0.8283333333333333,0.6192250372578242
True,False,0.18610119047619048,0.9313929313929314,True,0.42,0.0,False,0.16891891891891891,0.044127142704091966,0.17333333333333334,0.0,11468800,timerome_counterfact_partial_state,0.002976190476190476,100,0.0,0.77,runs/partial_state_temporal_residual_editor_v1/E2_pilot100_v1/timerome_counterfact_partial_state,True,0.07,0.6311385596174919,0.6862731224892495,0.7416666666666667,0.650521609538003
True,False,0.18610119047619048,0.919398688629458,True,0.47,0.0,False,0.16891891891891891,0.12268704134474198,0.1711011904761905,0.0,34406400,timerome_partial_state_state_bucketed,0.002976190476190476,100,0.0,0.82,runs/partial_state_temporal_residual_editor_v1/E2_pilot100_v1/timerome_partial_state_state_bucketed,True,0.09,0.6764619575738379,0.7228384042552152,0.815,0.6266766020864382
True,False,0.18610119047619048,0.9651367343675036,True,0.43,0.0,False,0.16554054054054054,0.044755630455290275,0.17961309523809524,0.0,77529088,timerome_shared_soft_preservation,0.004464285714285714,100,0.0,0.79,runs/partial_state_temporal_residual_editor_v1/E2_pilot100_v1/timerome_shared_soft_preservation,True,0.08,0.6482944628551449,0.6999757941420357,0.785,0.6810730253353204
True,False,0.18610119047619048,0.9393890932352471,True,0.47,0.0,False,0.1554054054054054,0.12496605576947331,0.17482142857142857,0.0,100466688,timerome_partial_state_state_protected,0.005952380952380952,100,0.0,0.83,runs/partial_state_temporal_residual_editor_v1/E2_pilot100_v1/timerome_partial_state_state_protected,True,0.08,0.6822833017449772,0.729400322497782,0.825,0.6684053651266766
True,False,0.18610119047619048,0.5245482168559091,True,0.415,0.0,False,0.07432432432432433,0.04282970578254511,0.09761904761904762,0.0,11468800,random_site_partial_state_residual,0.011904761904761904,100,0.0,0.3,runs/partial_state_temporal_residual_editor_v1/E2_pilot100_v1/random_site_partial_state_residual,True,0.02,0.39218893884925193,0.4613725897607688,0.335,0.37779433681073027
True,False,0.18610119047619048,0.9988805373420758,True,0.38,0.0,False,0.14527027027027026,0.04568383028016736,0.18589285714285714,0.0,11468800,fixed_site_partial_state_residual,0.00744047619047619,100,0.0,0.72,runs/partial_state_temporal_residual_editor_v1/E2_pilot100_v1/fixed_site_partial_state_residual,True,0.06,0.5974205110650208,0.6573089598810977,0.725,0.6259314456035767
True,False,,,False,,,False,,0.0,,,0,timerome_source_reproduction,,0,,,runs/partial_state_temporal_residual_editor_v1/C0_timerome_source_reproduction_v1,True,,,,,1.0
