ci_high,ci_low,delta,metric,num_cases,track_id,trials
0.02,-0.06,-0.02,same_subject_tfpr,100,N1,2000
-0.5112053123126524,-0.8911384274680885,-0.6877033365103774,protected_kl,100,N1,2000
0.02666666666666667,0.0033333333333333335,0.013333333333333334,pooled_rewrite_exact,300,N5,2000
